ID,trueAnnotation,Ignore,Annotation
https://www.idref.fr/182710335,"['Thássos', 'Θάσος', 'Thasos', 'Liménas']",[],"['Thássos', 'Θάσος', 'Thasos', 'Liménas']"
https://www.idref.fr/183212118,['Délos'],[],['Délos']
https://www.idref.fr/202930513,"['Samos', 'Rhoèce, Temple de', 'Rhoicos, Temple de', 'Héraion III', ""Grand temple d'Héra"", 'Temple de Rhoèce', 'Polycrate, Temple de', 'Rhoikos, Temple de', 'Temple de Rhoicos', 'Temple de Rhoikos', 'Temple de Polycrate', 'Rhoecos, Temple de', 'Héraion IV', ""Héra, Grand temple d'"", 'Temple de Théodore de Samos', 'Théodore de Samos, Temple de', 'Temple de Rhoecos', 'Héraion de Samos']",[],"['Samos', 'Rhoèce , Temple de', 'Rhoicos , Temple de', 'Héraion III', ""Grand temple d' Héra"", 'Temple de Rhoèce', 'Polycrate , Temple de', 'Rhoikos , Temple de', 'Temple de Rhoicos', 'Temple de Rhoikos', 'Temple de Polycrate', 'Rhoecos , Temple de', 'Héraion IV', ""Héra , Grand temple d' "", 'Temple de Théodore de Samos', 'Théodore de Samos , Temple de', 'Temple de Rhoecos', 'Héraion de Samos']"
https://www.idref.fr/234606649,"['Skadar, Lac de', 'Shkodra, Lac de', 'Lago di Scutari', 'Liqeni i Shkodrës', 'Skadarsko jezero']",[],"['Skadar , Lac de', 'Shkodra , Lac de', 'Lago di Scutari', 'Liqeni i Shkodrës', 'Skadarsko jezero']"
https://www.idref.fr/235111228,"['Épidaure', ""Asclépios, Sanctuaire d'"", ""Stade d'Épidaure"", 'Stade']",[],"['Épidaure', ""Asclépios , Sanctuaire d' "", ""Stade d' Épidaure"", 'Stade']"
https://www.idref.fr/255168284,"[""Okhrid, Lac d'"", 'Ohridsko jezero', 'Ohrit, Liqen i', ""Okhrida, Lac d'"", ""Ohrid, Lac d'"", 'Lychnitis, Lac de', 'Lychnidus, Lacus', ""Lac d'Ohrid"", ""Ochrida, Lac d'""]",[],"[""Okhrid , Lac d' "", 'Ohridsko jezero', 'Ohrit , Liqen i', ""Okhrida , Lac d' "", ""Ohrid , Lac d' "", 'Lychnitis , Lac de', 'Lychnidus , Lacus', ""Lac d' Ohrid"", ""Ochrida , Lac d' ""]"
https://www.idref.fr/260208892,"['Templum Divi Augusti ad Minervam', 'Augusto, Tempio di', 'Temple du divin Auguste', ""Temple d'Auguste"", 'Templum Novum Divi Augusti', 'Divi Augusti, Templum', 'Novum Divi Augusti, Templum', 'Divin Auguste, Temple du', 'Tempio di Augusto', 'Tempio del divo Augusto', ""Auguste, Temple d'"", ""Temple d'Auguste divinisé"", 'Templum Divi Augusti', 'Divo Augusto, Tempio del', 'Rome']",[],"['Templum Divi Augusti ad Minervam', 'Augusto , Tempio di', 'Temple du divin Auguste', ""Temple d' Auguste"", 'Templum Novum Divi Augusti', 'Divi Augusti , Templum', 'Novum Divi Augusti , Templum', 'Divin Auguste , Temple du', 'Tempio di Augusto', 'Tempio del divo Augusto', ""Auguste , Temple d' "", ""Temple d' Auguste divinisé"", 'Templum Divi Augusti', 'Divo Augusto , Tempio del', 'Rome']"
https://www.idref.fr/260324825,['Port de commerce de Pirée'],[],['Port de commerce de Pirée']
https://www.idref.fr/26358660X,"['Temple de Bassae', 'Bassae, Temple de', 'Bassai, Temple de', 'Pávlitsa', ""Apollon, Temple d'""]",[],"['Temple de Bassae', 'Bassae , Temple de', 'Bassai , Temple de', 'Pávlitsa', ""Apollon , Temple d' ""]"
https://www.idref.fr/264513959,['Monastère de la Pantanassa'],[],['Monastère de la Pantanassa']
https://www.idref.fr/265619637,"['Thébains, Trésor des', 'Trésor de Thèbes', 'Delphes', 'Thèbes, Trésor de', 'Trésor des Thébains']",[],"['Thébains , Trésor des', 'Trésor de Thèbes', 'Delphes', 'Thèbes , Trésor de', 'Trésor des Thébains']"
https://www.idref.fr/265619645,"[""Terrasse d'Attale"", ""Attale, Portique d'"", ""Portique d'Attale"", 'Delphes', ""Stoa d'Attale""]",[],"[""Terrasse d' Attale"", ""Attale , Portique d' "", ""Portique d' Attale"", 'Delphes', ""Stoa d' Attale""]"
